Setting MPI environment
Thread 3 from rank 0
Thread 4 from rank 0
Thread 2 from rank 0
Thread 5 from rank 0
Thread 1 from rank 0
Thread 0 from rank 0
Reading parameters:
	 rhs_function=1
	 nx=161
	 ny=161
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 26 0 161
I am writing output_source
Step 513, Diff=0.0206375
Step 514, Diff=0.0206216
Step 515, Diff=0.0206057
Step 516, Diff=0.0205898
Step 517, Diff=0.020574
Step 518, Diff=0.0205581
Step 519, Diff=0.0205422
Step 520, Diff=0.0205264
Step 521, Diff=0.0205106
Step 522, Diff=0.0204948
Step 523, Diff=0.020479
Step 524, Diff=0.0204632
Step 525, Diff=0.0204474
Step 526, Diff=0.0204316
Step 527, Diff=0.0204159
Step 528, Diff=0.0204002
Step 529, Diff=0.0203844
Step 530, Diff=0.0203687
Step 531, Diff=0.020353
Step 532, Diff=0.0203373
Step 533, Diff=0.0203216
Step 534, Diff=0.020306
Step 535, Diff=0.0202903
Step 536, Diff=0.0202747
Step 537, Diff=0.020259
Step 538, Diff=0.0202434
Step 539, Diff=0.0202278
Step 540, Diff=0.0202122
Step 541, Diff=0.0201966
Step 542, Diff=0.0201811
Step 543, Diff=0.0201655
Step 544, Diff=0.02015
Step 545, Diff=0.0201344
Step 546, Diff=0.0201189
Step 547, Diff=0.0201034
Step 548, Diff=0.0200879
Step 549, Diff=0.0200724
Step 550, Diff=0.0200569
Step 551, Diff=0.0200415
Step 552, Diff=0.020026
Step 553, Diff=0.0200106
Step 554, Diff=0.0199951
Step 555, Diff=0.0199797
Step 556, Diff=0.0199643
Step 557, Diff=0.0199489
Step 558, Diff=0.0199336
Step 559, Diff=0.0199182
Step 560, Diff=0.0199028
Step 561, Diff=0.0198875
Step 562, Diff=0.0198722
Step 563, Diff=0.0198568
Step 564, Diff=0.0198415
Step 565, Diff=0.0198262
Step 566, Diff=0.0198109
Step 567, Diff=0.0197957
Step 568, Diff=0.0197804
Step 569, Diff=0.0197652
Step 570, Diff=0.0197499
Step 571, Diff=0.0197347
Step 572, Diff=0.0197195
Step 573, Diff=0.0197043
Step 574, Diff=0.0196891
Step 575, Diff=0.0196739
Step 576, Diff=0.0196587
Step 577, Diff=0.0196436
Step 578, Diff=0.0196284
Step 579, Diff=0.0196133
Step 580, Diff=0.0195982
Step 581, Diff=0.0195831
Step 582, Diff=0.019568
Step 583, Diff=0.0195529
Step 584, Diff=0.0195378
Step 585, Diff=0.0195227
Step 586, Diff=0.0195077
Step 587, Diff=0.0194927
Step 588, Diff=0.0194776
Step 589, Diff=0.0194626
Step 590, Diff=0.0194476
Step 591, Diff=0.0194326
Step 592, Diff=0.0194176
Step 593, Diff=0.0194027
Step 594, Diff=0.0193877
Step 595, Diff=0.0193728
Step 596, Diff=0.0193578
Step 597, Diff=0.0193429
Step 598, Diff=0.019328
Step 599, Diff=0.0193131
Step 600, Diff=0.0192982
Step 601, Diff=0.0192833
Step 602, Diff=0.0192684
Step 603, Diff=0.0192536
Step 604, Diff=0.0192387
Step 605, Diff=0.0192239
Step 606, Diff=0.0192091
Step 607, Diff=0.0191943
Step 608, Diff=0.0191795
Step 609, Diff=0.0191647
Step 610, Diff=0.0191499
Step 611, Diff=0.0191352
Step 612, Diff=0.0191204
Step 613, Diff=0.0191057
Step 614, Diff=0.0190909
Step 615, Diff=0.0190762
Step 616, Diff=0.0190615
Step 617, Diff=0.0190468
Step 618, Diff=0.0190321
Step 619, Diff=0.0190175
Step 620, Diff=0.0190028
Step 621, Diff=0.0189881
Step 622, Diff=0.0189735
Step 623, Diff=0.0189589
Step 624, Diff=0.0189443
Step 625, Diff=0.0189297
Step 626, Diff=0.0189151
Step 627, Diff=0.0189005
Step 628, Diff=0.0188859
Step 629, Diff=0.0188714
Step 630, Diff=0.0188568
Step 631, Diff=0.0188423
Step 632, Diff=0.0188277
Step 633, Diff=0.0188132
Step 634, Diff=0.0187987
Step 635, Diff=0.0187842
Step 636, Diff=0.0187697
Step 637, Diff=0.0187553
Step 638, Diff=0.0187408
Step 639, Diff=0.0187264
