params: /var/spool/slurmd/job30981487/slurm_script, params_1024.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 256 0 1024
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 523, Diff=4.43173e-05
Step 524, Diff=4.42531e-05
Step 525, Diff=4.4189e-05
Step 526, Diff=4.41252e-05
Step 527, Diff=4.40616e-05
Step 528, Diff=4.39982e-05
Step 529, Diff=4.3935e-05
Step 530, Diff=4.38721e-05
Step 531, Diff=4.38093e-05
Step 532, Diff=4.37467e-05
Step 533, Diff=4.36844e-05
Step 534, Diff=4.36222e-05
Step 535, Diff=4.35603e-05
Step 536, Diff=4.34986e-05
Step 537, Diff=4.3437e-05
Step 538, Diff=4.33757e-05
Step 539, Diff=4.33145e-05
Step 540, Diff=4.32536e-05
Step 541, Diff=4.31929e-05
Step 542, Diff=4.31323e-05
Step 543, Diff=4.3072e-05
Step 544, Diff=4.30118e-05
Step 545, Diff=4.29518e-05
Step 546, Diff=4.28921e-05
Step 547, Diff=4.28325e-05
Step 548, Diff=4.27731e-05
Step 549, Diff=4.27139e-05
Step 550, Diff=4.26549e-05
Step 551, Diff=4.25961e-05
Step 552, Diff=4.25374e-05
Step 553, Diff=4.2479e-05
Step 554, Diff=4.24207e-05
Step 555, Diff=4.23627e-05
Step 556, Diff=4.23048e-05
Step 557, Diff=4.2247e-05
Step 558, Diff=4.21895e-05
Step 559, Diff=4.21322e-05
Step 560, Diff=4.2075e-05
Step 561, Diff=4.2018e-05
Step 562, Diff=4.19612e-05
Step 563, Diff=4.19045e-05
Step 564, Diff=4.18481e-05
Step 565, Diff=4.17918e-05
Step 566, Diff=4.17357e-05
Step 567, Diff=4.16797e-05
Step 568, Diff=4.1624e-05
Step 569, Diff=4.15684e-05
Step 570, Diff=4.1513e-05
Step 571, Diff=4.14577e-05
Step 572, Diff=4.14026e-05
Step 573, Diff=4.13477e-05
Step 574, Diff=4.1293e-05
Step 575, Diff=4.12384e-05
Step 576, Diff=4.1184e-05
Step 577, Diff=4.11297e-05
Step 578, Diff=4.10756e-05
Step 579, Diff=4.10217e-05
Step 580, Diff=4.09679e-05
Step 581, Diff=4.09143e-05
Step 582, Diff=4.08609e-05
Step 583, Diff=4.08076e-05
Step 584, Diff=4.07545e-05
Step 585, Diff=4.07016e-05
Step 586, Diff=4.06488e-05
Step 587, Diff=4.05961e-05
Step 588, Diff=4.05437e-05
Step 589, Diff=4.04913e-05
Step 590, Diff=4.04392e-05
Step 591, Diff=4.03872e-05
Step 592, Diff=4.03353e-05
Step 593, Diff=4.02836e-05
Step 594, Diff=4.0232e-05
Step 595, Diff=4.01806e-05
Step 596, Diff=4.01294e-05
Step 597, Diff=4.00783e-05
Step 598, Diff=4.00273e-05
Step 599, Diff=3.99765e-05
Step 600, Diff=3.99259e-05
Step 601, Diff=3.98754e-05
Step 602, Diff=3.9825e-05
Step 603, Diff=3.97748e-05
Step 604, Diff=3.97247e-05
Step 605, Diff=3.96748e-05
Step 606, Diff=3.9625e-05
Step 607, Diff=3.95754e-05
Step 608, Diff=3.95259e-05
Step 609, Diff=3.94766e-05
Step 610, Diff=3.94274e-05
Step 611, Diff=3.93783e-05
Step 612, Diff=3.93294e-05
Step 613, Diff=3.92806e-05
Step 614, Diff=3.9232e-05
Step 615, Diff=3.91835e-05
Step 616, Diff=3.91351e-05
Step 617, Diff=3.90869e-05
Step 618, Diff=3.90388e-05
Step 619, Diff=3.89908e-05
Step 620, Diff=3.8943e-05
Step 621, Diff=3.88953e-05
Step 622, Diff=3.88478e-05
Step 623, Diff=3.88003e-05
Step 624, Diff=3.87531e-05
Step 625, Diff=3.87059e-05
Step 626, Diff=3.86589e-05
Step 627, Diff=3.8612e-05
Step 628, Diff=3.85652e-05
Step 629, Diff=3.85186e-05
Step 630, Diff=3.84721e-05
Step 631, Diff=3.84258e-05
Step 632, Diff=3.83795e-05
Step 633, Diff=3.83334e-05
Step 634, Diff=3.82874e-05
Step 635, Diff=3.82416e-05
Step 636, Diff=3.81958e-05
Step 637, Diff=3.81502e-05
Step 638, Diff=3.81048e-05
Step 639, Diff=3.80594e-05
Step 640, Diff=3.80142e-05
Step 641, Diff=3.79691e-05
Step 642, Diff=3.79241e-05
Step 643, Diff=3.78792e-05
Step 644, Diff=3.78345e-05
Step 645, Diff=3.77899e-05
Step 646, Diff=3.77454e-05
Step 647, Diff=3.7701e-05
Step 648, Diff=3.76568e-05
Step 649, Diff=3.76126e-05
Step 650, Diff=3.75686e-05
Step 651, Diff=3.75247e-05
Step 652, Diff=3.74809e-05
Step 653, Diff=3.74373e-05
Step 654, Diff=3.73937e-05
Step 655, Diff=3.73503e-05
Step 656, Diff=3.7307e-05
Step 657, Diff=3.72638e-05
Step 658, Diff=3.72207e-05
Step 659, Diff=3.71778e-05
Step 660, Diff=3.71349e-05
Step 661, Diff=3.70922e-05
Step 662, Diff=3.70496e-05
Step 663, Diff=3.7007e-05
Step 664, Diff=3.69646e-05
Step 665, Diff=3.69224e-05
Step 666, Diff=3.68802e-05
Step 667, Diff=3.68381e-05
Step 668, Diff=3.67962e-05
Step 669, Diff=3.67543e-05
Step 670, Diff=3.67126e-05
Step 671, Diff=3.6671e-05
Step 672, Diff=3.66294e-05
Step 673, Diff=3.6588e-05
Step 674, Diff=3.65467e-05
Step 675, Diff=3.65055e-05
Step 676, Diff=3.64645e-05
Step 677, Diff=3.64235e-05
Step 678, Diff=3.63826e-05
Step 679, Diff=3.63418e-05
Step 680, Diff=3.63012e-05
Step 681, Diff=3.62606e-05
Step 682, Diff=3.62202e-05
Step 683, Diff=3.61798e-05
Step 684, Diff=3.61396e-05
Step 685, Diff=3.60994e-05
Step 686, Diff=3.60594e-05
Step 687, Diff=3.60194e-05
Step 688, Diff=3.59796e-05
Step 689, Diff=3.59399e-05
Step 690, Diff=3.59002e-05
Step 691, Diff=3.58607e-05
Step 692, Diff=3.58213e-05
Step 693, Diff=3.57819e-05
Step 694, Diff=3.57427e-05
Step 695, Diff=3.57036e-05
Step 696, Diff=3.56645e-05
Step 697, Diff=3.56256e-05
Step 698, Diff=3.55867e-05
Step 699, Diff=3.5548e-05
Step 700, Diff=3.55093e-05
Step 701, Diff=3.54708e-05
Step 702, Diff=3.54323e-05
Step 703, Diff=3.5394e-05
Step 704, Diff=3.53557e-05
Step 705, Diff=3.53176e-05
Step 706, Diff=3.52795e-05
Step 707, Diff=3.52415e-05
Step 708, Diff=3.52036e-05
Step 709, Diff=3.51658e-05
Step 710, Diff=3.51281e-05
Step 711, Diff=3.50905e-05
Step 712, Diff=3.5053e-05
Step 713, Diff=3.50156e-05
Step 714, Diff=3.49783e-05
Step 715, Diff=3.4941e-05
Step 716, Diff=3.49039e-05
Step 717, Diff=3.48668e-05
Step 718, Diff=3.48299e-05
Step 719, Diff=3.4793e-05
Step 720, Diff=3.47562e-05
Step 721, Diff=3.47195e-05
Step 722, Diff=3.46829e-05
Step 723, Diff=3.46464e-05
Step 724, Diff=3.461e-05
Step 725, Diff=3.45736e-05
Step 726, Diff=3.45374e-05
Step 727, Diff=3.45012e-05
Step 728, Diff=3.44652e-05
Step 729, Diff=3.44292e-05
Step 730, Diff=3.43933e-05
Step 731, Diff=3.43575e-05
Step 732, Diff=3.43217e-05
Step 733, Diff=3.42861e-05
Step 734, Diff=3.42505e-05
