params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 666, Diff=8.7688e-05
Step 667, Diff=8.75737e-05
Step 668, Diff=8.74597e-05
Step 669, Diff=8.7346e-05
Step 670, Diff=8.72326e-05
Step 671, Diff=8.71195e-05
Step 672, Diff=8.70067e-05
Step 673, Diff=8.68941e-05
Step 674, Diff=8.67819e-05
Step 675, Diff=8.667e-05
Step 676, Diff=8.65583e-05
Step 677, Diff=8.6447e-05
Step 678, Diff=8.63359e-05
Step 679, Diff=8.62252e-05
Step 680, Diff=8.61147e-05
Step 681, Diff=8.60045e-05
Step 682, Diff=8.58946e-05
Step 683, Diff=8.5785e-05
Step 684, Diff=8.56757e-05
Step 685, Diff=8.55666e-05
Step 686, Diff=8.54578e-05
Step 687, Diff=8.53493e-05
Step 688, Diff=8.52411e-05
Step 689, Diff=8.51332e-05
Step 690, Diff=8.50255e-05
Step 691, Diff=8.49181e-05
Step 692, Diff=8.4811e-05
Step 693, Diff=8.47042e-05
Step 694, Diff=8.45976e-05
Step 695, Diff=8.44913e-05
Step 696, Diff=8.43853e-05
Step 697, Diff=8.42795e-05
Step 698, Diff=8.4174e-05
Step 699, Diff=8.40688e-05
Step 700, Diff=8.39639e-05
Step 701, Diff=8.38592e-05
Step 702, Diff=8.37547e-05
Step 703, Diff=8.36506e-05
Step 704, Diff=8.35467e-05
Step 705, Diff=8.3443e-05
Step 706, Diff=8.33396e-05
Step 707, Diff=8.32365e-05
Step 708, Diff=8.31336e-05
Step 709, Diff=8.3031e-05
Step 710, Diff=8.29287e-05
Step 711, Diff=8.28266e-05
